,,,,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx
column,row,X,Y,Layer 1,Layer 2,Layer 3,Layer 4,Layer 5,Layer 6,Layer 7,Layer 8,Layer 9,Layer 10,Layer 11,Layer 12,Layer 13,Layer 14,Layer 15,Layer 16,Layer 17,Layer 18,Layer 19,Layer 20,Layer 21,Layer 22,Layer 23,Layer 24,Layer 25,Layer 26,Layer 27,Layer 28,Layer 29,Layer 30,Layer 31,Layer 32,Layer 33,Layer 34,Layer 35,Layer 36,Layer 37,Layer 38,Layer 39,Layer 40,Layer 41,Layer 42,Layer 43,Layer 44
38,1,40.53,56.24,10.3923,9.9429,9.967,10.2003,9.9574,8.9824,9.8895,10.8806,11.3447,9.8336,10.2663,9.9082,10.3448,12.4544,12.1796,11.488,11.613,23.3584,21.438,23.4609,24.9881,23.9471,24.5388,23.5285,26.6443,10.0963,10.0963,10.0963,10.0963,33.7461,33.7461,35.8512,35.8512,36.5177,41.7738,44.6379,45.4113,49.4486,49.1342,45.0748,48.7454,49.1953,53.0779,52.3099
39,1,40.73,56.24,10.3923,9.9431,9.9674,10.2013,9.9587,8.9845,9.892,10.8839,11.3486,10.4644,10.271,9.9139,10.3503,12.4607,12.1833,11.4917,11.6159,23.3611,21.4404,23.4635,24.9916,23.9505,24.5428,23.5317,26.6473,10.0963,10.0963,10.0963,10.0963,33.7461,33.7461,35.8512,35.8512,36.5177,41.7738,44.6379,45.4113,49.4486,49.1342,45.0748,48.7454,49.1953,53.0779,52.3099
40,1,40.93,56.24,10.3923,9.9434,9.9679,10.2022,9.9601,8.9864,9.8945,10.8874,11.3528,10.4675,10.2758,9.9198,10.3558,12.4668,12.1869,11.4954,11.6189,23.3633,21.4429,23.4663,24.995,23.9543,24.5467,23.535,26.6504,10.0963,10.0963,10.0963,10.0963,33.7461,33.7461,35.8512,35.8512,36.5177,41.7738,44.6379,45.4113,49.4486,49.1342,45.0748,48.7454,49.1953,53.0779,52.3099
41,1,41.13,56.24,10.3923,9.9436,9.9684,10.2029,9.9615,8.9882,9.8968,10.8907,11.357,10.4707,10.2807,9.9258,10.3613,12.4731,12.1906,11.4991,11.6221,23.366,21.4459,23.4695,24.9991,23.9576,24.5501,23.5382,26.6541,10.0963,10.0963,10.0963,10.0963,33.7461,33.7461,35.8512,35.8512,36.5177,41.7738,44.6379,45.4113,49.4486,49.1342,45.0748,48.7454,49.1953,53.0779,52.3099
42,1,41.33,56.24,10.3926,9.9438,9.9688,10.2038,9.9629,8.9901,9.8993,10.8939,11.3612,10.4738,10.2857,9.9317,10.367,12.4794,12.1942,11.5028,11.625,23.3687,21.4483,23.4722,25.0025,23.9615,24.5541,23.5415,26.6572,10.0963,10.0963,10.0963,10.0963,33.7461,33.7461,35.8512,35.8512,36.5177,41.7738,44.6379,45.4113,49.4486,49.1342,45.0748,48.7454,49.1953,53.0779,52.3099
43,1,41.53,56.24,10.3926,9.9441,9.9693,10.2048,9.964,8.9917,9.9016,10.8974,11.3656,10.4769,10.2907,9.9377,10.3725,12.4854,12.1979,11.5065,11.6282,23.3713,21.4508,23.4749,25.0065,23.9648,24.5575,23.5442,26.6602,10.0963,10.0963,10.0963,10.0963,33.7461,33.7461,35.8512,35.8512,36.5177,41.7738,44.6379,45.4113,49.4486,49.1342,45.0748,48.7454,49.1953,53.0779,52.3099
44,1,41.73,56.24,10.3926,9.9443,9.9697,10.2055,9.9654,8.9936,9.9038,10.9007,11.3698,10.4801,10.2957,9.9438,10.3782,12.4921,12.2015,11.5105,11.6312,23.374,21.4533,23.4776,25.01,23.9687,24.5614,23.5474,26.6639,10.0963,10.0963,10.0963,10.0963,33.7461,33.7461,35.8512,35.8512,36.5177,41.7738,44.6379,45.4113,49.4486,49.1342,45.0748,48.7454,49.1953,53.0779,52.3099
45,1,41.93,56.24,10.3926,9.9445,9.9702,10.2064,10.1485,8.9953,9.9061,10.9042,11.374,10.4832,10.3006,9.9498,10.3837,12.4984,12.2054,11.5142,11.6344,23.3767,21.4558,23.4809,25.014,23.972,24.5648,23.5507,26.667,10.0963,10.0963,10.0963,10.0963,33.7461,33.7461,35.8512,35.8512,36.5177,41.7738,44.6379,45.4113,49.4486,49.1342,45.0748,48.7454,49.1953,53.0779,52.3099
46,1,42.13,56.24,10.3926,9.9447,9.9707,10.2071,10.1497,8.9971,9.9084,10.9077,11.3785,10.4863,10.3056,9.9557,10.3895,12.5047,12.2091,11.5182,11.6373,23.3794,21.4587,23.4835,25.0175,23.9758,24.5688,23.5539,26.67,10.0963,10.0963,10.0963,10.0963,33.7461,33.7461,35.8512,35.8512,36.5177,41.7738,44.6379,45.4113,49.4486,49.1342,45.0748,48.7454,49.1953,53.0779,52.3099
47,1,42.33,56.24,10.3926,9.945,9.9711,10.2081,10.1511,8.9988,9.9107,10.911,11.3829,10.4897,10.3108,9.9617,10.395,12.511,12.213,11.5219,11.6406,23.3821,21.4612,23.4863,25.0215,23.9791,24.5728,23.5567,26.6737,10.0963,10.0963,10.0963,10.0963,33.7461,33.7461,35.8512,35.8512,36.5177,41.7738,44.6379,45.4113,49.4486,49.1342,45.0748,48.7454,49.1953,53.0779,52.3099
48,1,42.53,56.24,10.3926,9.9452,9.9716,10.2088,10.1525,9.0004,9.913,10.9145,11.3871,10.4929,10.3158,9.9677,10.4005,12.5177,12.217,11.5256,11.6435,23.3848,21.4637,23.7774,25.025,23.983,24.5761,23.5599,26.6768,10.0963,10.0963,10.0963,10.0963,33.7461,33.7461,35.8512,35.8512,36.5177,41.7738,44.6379,45.4113,49.4486,49.1342,45.0748,48.7454,49.1953,53.0779,52.3099
49,1,42.73,56.24,10.3926,9.9454,9.972,10.5529,10.1539,9.0019,9.9153,10.918,11.3916,10.496,10.321,9.9736,10.4062,12.524,12.2206,11.2778,11.6467,23.3875,21.4661,23.7801,25.029,24.2663,24.5795,23.5632,26.6799,10.0963,10.0963,10.0963,10.0963,33.7461,33.7461,35.8512,35.8512,36.5177,41.7738,44.6379,45.4113,49.4486,49.1342,45.0748,48.7454,49.1953,53.0779,52.3099
50,1,42.93,56.24,10.3926,9.9454,9.9725,10.5539,10.1551,9.0035,9.9175,10.9215,11.396,10.4991,10.3263,9.9796,10.4118,12.5307,12.2246,11.2812,11.6497,23.3902,21.4686,23.7828,25.033,24.2697,24.5835,23.5659,26.6829,10.0963,10.0963,10.0963,10.0963,33.7461,33.7461,35.8512,35.8512,36.5177,41.7738,44.6379,45.4113,49.4486,49.1342,45.0748,48.7454,49.1953,53.0779,52.3099
51,1,43.13,56.24,10.3928,9.9457,9.973,10.5549,10.1565,9.005,9.9196,10.9251,11.4005,10.5023,10.3315,9.9856,10.4175,12.5373,11.9422,11.2848,11.6526,23.3929,21.4711,23.7856,25.0365,24.273,24.5869,23.5691,26.6866,10.0963,10.0963,10.0963,10.0963,33.7461,33.7461,35.8512,35.8512,36.5177,41.7738,44.6379,45.4113,49.4486,49.1342,45.0748,48.7454,49.1953,53.0779,52.3099
52,1,43.33,56.24,10.3928,9.9459,9.9732,10.5556,10.1579,9.0067,9.9219,10.9286,11.405,10.6921,10.3367,9.9916,10.423,12.5439,11.9463,11.2884,11.6558,23.3956,21.4735,23.7883,25.0405,24.2764,24.5909,23.5719,26.6897,10.0963,10.0963,10.0963,10.0963,33.7461,33.7461,35.8512,35.8512,36.5177,41.7738,44.6379,45.4113,49.4486,49.1342,45.0748,48.7454,49.1953,53.0779,52.3099
53,1,43.53,56.24,10.3928,9.9461,9.9736,10.5566,10.1591,9.0081,9.9239,10.9321,11.4094,10.6953,10.342,9.9976,10.4285,12.5506,11.9504,11.2918,11.6588,23.3983,21.476,23.7911,25.044,24.2797,24.5943,23.5746,26.6928,10.0963,10.0963,10.0963,10.0963,33.7461,33.7461,35.8512,35.8512,36.5177,41.7738,44.6379,45.4113,49.4486,49.1342,45.0748,48.7454,49.1953,53.0779,52.3099
